Indicator,Next
1369893.95339868,83
1924259.32954233,68
5145385.47670469,-93
687645.706641809,57
-75579.8085026418,-80
-2361137.51189378,-34
71108.7846978322,-87
-5784401.41483775,2
96548.8705130151,-34
-697407.38774456,51
6595485.76237478,-11
-700527.156707568,46
2425810.92917629,-3
-3187900.42652913,24
922190.437956295,-12
-1786357.20089116,59
1100583.32373016,15
1658215.77528514,37
75275.2848627522,-7
-286373.445650362,-89
-4131953.60052746,49
1110735.01228308,-22
-448705.675692691,-77
-258169.572540041,-36
-1694299.63349729,-40
-2792529.25234999,-66
-469823.948495499,-108
-3234367.11471184,59
3551078.44696755,-13
2572144.64282714,-89
231060.111203825,-23
-4389315.25376289,13
-194348.012888634,13
2131731.72881831,2
3510228.23221936,24
223347.531310929,-55
933717.749837953,82
2566211.13680902,-24
1788175.28561671,182
9663426.36895587,15
-1714333.78955263,-89
-2701810.81171231,-62
-10439676.0751007,113
509828.897006342,32
3483290.21692693,-20
1630180.49675443,-16
-2424431.72801575,-55
-3826723.71657519,112
3131435.09417175,39
2055515.30675475,10
1339133.49923806,-108
-5346828.55665862,-24
-1900588.91974655,-44
-953951.294678771,43
